char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Hedwig,William Weasley,17,False,False,False,True
Hedwig,Helga Hufflepuff,17,False,True,False,False
Pansy Parkinson,Poppy Pomfrey,17,False,False,False,True
Gregory Goyle,Rolanda Hooch,17,False,False,False,True
Bartemius Crouch Senior,Nymphadora Tonks,17,True,False,False,False
Bartemius Crouch Senior,Mungo Bonham,17,True,False,False,False
Olympe Maxime,William Weasley,17,False,False,False,True
Gregory Goyle,Peeves,17,False,False,False,True
Gregory Goyle,Parvati Patil,17,False,False,False,True
Helga Hufflepuff,Rita Skeeter,17,False,True,False,False
Gregory Goyle,Ludovic Bagman,17,False,False,False,True
Lee Jordan,Seamus Finnigan,17,False,False,False,True
Olympe Maxime,Salazar Slytherin,17,False,True,False,False
Bartemius Crouch Senior,Helga Hufflepuff,17,True,True,False,False
Cornelius Fudge,Mundungus Fletcher,17,False,False,False,True
Graham Montague,Oliver Wood,17,False,False,True,False
Igor Karkaroff,Lucius Malfoy,17,False,False,False,True
Igor Karkaroff,Poppy Pomfrey,17,False,False,False,True
Igor Karkaroff,Seamus Finnigan,17,False,False,False,True
Dolores Umbridge,Olympe Maxime,17,False,False,False,True
Alicia Spinnet,Percy Weasley,17,False,False,True,False
Percy Weasley,Rolanda Hooch,17,False,False,True,False
Justin Finch-Fletchley,Rowena Ravenclaw,17,False,True,False,False
Buckbeak,Father Christmas,17,False,True,False,False
Alicia Spinnet,Tom Riddle,17,False,False,False,True
Draco Malfoy,Sorting Hat,17,False,False,False,True
Bellatrix Lestrange,George Weasley,17,False,False,False,True
Rowena Ravenclaw,Sybill Trelawney,17,False,True,False,False
Cho Chang,Lavender Brown,17,False,False,False,True
Argus Filch,Parvati Patil,17,False,False,False,True
Dean Thomas,Rolanda Hooch,17,False,False,False,True
Filius Flitwick,Igor Karkaroff,17,False,False,False,True
Charles Weasley,Tom Riddle,17,False,False,False,True
Argus Filch,Lee Jordan,17,False,False,False,True
Marcus Flint,Rowena Ravenclaw,17,False,True,False,False
